,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
43,(Sr.) Data Scientist -,-1,"Thursday, June 11, 2020

Merrick Bank is a top-25 credit card issuer and merchant acquirer in the VISA/MasterCard networks, and a major recreational vehicle lender.
The Bank is a Utah Financial Institution and a member of the FDIC.

At Merrick Bank, we specialize in credit programs that assist people looking to build or rebuild their credit. We are FDIC insured and recognized as a top-20 issuer of Visa® cards. In total, we proudly serve over 2.4 million cardholders and have extended over $5.3 billion in credit.

Our Mission is to make a positive difference in the lives of our customers, our employees, and our community. We work hard to create a work environment that empowers our associates to grow, learn, and reach their potential.

This position is a member (or, a senior member, depending upon qualifications) of the Data Science and Modeling team, and will support and work with other members of the team to produce the models, reports, and analysis as required for the bank. Data science, machine learning and statistical programming are the core competencies of the position, but in addition, the applicant should work well with others, have a desire to learn, be self-motivated, and have excellent communication and presentation skills.

REQUIRED SKILLS, ABILITIES, KNOWLEDGE, AND EXPERIENCE:
Master's degree in a relevant quantitative field, or a bachelor’s degree with a significant amount of relevant work experience.
Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement.
Expertise with R or Python is required.
Experience with any of the following computer languages is also desirable: CUDA, FORTRAN or C/C++, SAS, SQL, Unix shell scripting, or LaTeX.
Experience with HPC (High Performance Computing), or Parallel Computing would be a plus. Experience with SLURM would be outstanding.
Experience in the banking industry, specifically in credit cards, is not necessary, but would be desirable.


PRIMARY DUTIES:
Statistical programming, model development and implementation.
Communicating results, both verbally and in writing.
Work both individually and in a collaborative manner with a team.
Designing, validating, and improving data driven decision making processes and strategies.
Building key metrics and modeling reports for communication with executives.
Compliant with Laws & Regulations.

What’s in it for you:

Competitive salary (DOE)

Benefits package -Medical, Dental and Vision (plus much more)

401(k) Plan with Company Match

Short & Long Term Disability

Group Life and AD&D Insurance

Paid Vacation, Holidays, and Personal Days

Employee Events, including Employee Appreciation Day, Holiday Party, etc.

Tuition Reimbursement Program
Candidates must have unrestricted authority to work in the
United States without sponsorship.

Merrick Bank is an equal opportunity employer. We evaluate qualified applicants
without regard to race, color, religion, sex, national origin, disability,
veteran status, and other legally protected characteristic. The EEO is the
Law poster is available here: http://www1.eeoc.gov/employers/poster.cfm

Please go to our website www.merrickbank.com to apply and learn more about our company

We are an equal opportunity employer. Merrick Bank will do a thorough background check for all hires. This includes a review of your personal credit history, drug testing, background check, and employment/personal references. A good credit history is important.

Other details
Job Family
Account Acquisition & Data Science
Pay Type
Salary",3.6,"Merrick Bank
3.6",Utah,"South Jordan, UT",201 to 500 employees,1997,Company - Private,Banks & Building Societies,Finance,Unknown / Non-Applicable,-1
44,Data Scientist / Quantitative Researcher – High Frequency Futures,"$122K-$168K
(Glassdoor Est.)","Data Scientist / Quantitative Researcher – High Frequency Futures
Location


Chicago

Job Department


Trading

Apply Now

Position Title: Data Scientist / Quantitative Researcher – High Frequency Futures

Location: Chicago

Department: Trading

Position Summary

We are looking for highly skilled and experienced individuals to join a research effort focused on generating high frequency trading alphas in the futures markets. The ideal candidate has direct experience in the alpha research process and understands the workflow from idea generation to production implementation. This opportunity will provide the right candidate the chance to have a large impact on the direction and productivity of a newly formed effort within a successful proprietary trading firm.

Responsibilities

• Conduct financial data analysis on large datasets to generate profitable trading alphas.

• Define key metrics for model validation.

• Back testing and production performance monitoring.

• Contribute to in-house data analysis packages and research framework development.

• Acquisition of new data sets and cleaning/maintenance of new and existing data sets.

Requirements

• At least 2+ years of experience generating or implementing short-term trading alphas into production trading strategies.

• Advanced knowledge of modern statistical and machine learning techniques.

• Proficiency in a scripting language such as Python, R, or MATLAB.

• Proficiency in at least one statistical package and one machine learning package in one of the above languages.

• Demonstrated experience working with tick data.

• Degree in a quantitative discipline such as Statistics, Computer Science, Mathematics, Engineering, etc.

• Experience developing software systems an in object oriented language is a plus.

About Wolverine

Founded in 1994, the Wolverine companies comprise a number of diversified financial institutions specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. The Wolverine companies are headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.

Sponsorship is not available for this position.",4.1,"Wolverine Trading
4.1","Chicago, IL","Chicago, IL",201 to 500 employees,1994,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (CAD),-1
45,Senior Data Scientist,"$125K-$199K
(Glassdoor Est.)","Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.

By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.

Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we'd love to hear from you!

The Team

Data Scientists with Upstart have a direct impact on our company's success. Our data science team consists of full-stack generalists as well as specialists in statistical modeling or machine learning as well as Machine Learning Engineers.

The fundamental goal of our data science team is to explore new models and new data sets that can improve the accuracy of our models. With this goal comes near-limitless challenges to tackle, and that is one of the reasons why Upstart is such a unique opportunity. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.

The Role

As a Senior Data Scientist, you'll have ownership across a breadth of data science projects working end-to-end from building proof-of-concepts to productionalizing models. You'll also have an opportunity to work alongside a talented team that values curiosity, humility, drive and teamwork.

What we're looking for:
Strong academic credentials with a master's degree in computer science, statistics, mathematics, or other quantitative areas of study; Ph.D. preferred
5+ years relevant experience with detailed understanding of building good technical solutions; ability to convert ideas into testable hypotheses and/or next steps
Programming skills in Python and/or R
Full-stack expertise with all steps of the modeling process from ideation to productionalizing code; OR deep expertise in either statistical modeling or machine learning
Knowledge of machine learning, pipelines and engineering architecture helpful
Interest in growing in technical and/or people leadership is a plus
Enthusiasm for and alignment with Upstart's mission and values
Strong sense of intellectual curiosity balanced with humility, drive and teamwork
Numerically-savvy and smart with ability to operate at a speedy pace
What you'll love:
Competitive compensation (base + bonus & equity)
Comprehensive medical, dental, and vision coverage
Personal development and technology & ergonomic budgets
Life insurance and disability benefits
Clubs and Activities (game nights, Fitstarters, Superwomen, book club, investing club, money discussions, photography club and basketball teams)
Generous vacation policy
401(k) retirement plan
Catered lunches + snacks & drinks
Upstart is a proud Equal Opportunity Employer. We are dedicated to ensuring that underrepresented classes receive better access to affordable credit, and are just as committed to embracing diversity and inclusion in our hiring practices. We celebrate all cultures, backgrounds, perspectives, and experiences, and know that we can only become better together.",4.2,"Upstart
4.2","San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
46,Sr Data Scientist,"$81K-$131K
(Glassdoor Est.)","JOB DUTIES:Senior Data Scientist for Ecolab, Inc. at its facility in Naperville, IL. Actively engage with internal business stakeholders to understand business challenges and deliver robust, data driven solutions. Integrate inputs from subject matter experts with statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources. Validate proof of concept (POCs) by analyzing organizational data and present insights to determine the potential to be taken up as a full-scale funded analytics project. Collaborate closely with Business Partners/Analysts, Data Engineers, System Administrators and other Data Scientists to develop and integrate innovative AI/ML models into useable data products and services. Leverage open source tools like Python along with Microsoft Azure cloud based big data/AI environments to implement scalable predictive/prescriptive models. Present the results of your work to all levels within the organization, offering actionable real-time insights that have a measurable and ongoing impact on business. Partner with customers and leading digital companies to leverage cutting edge technology (machine learning, streaming analytics and real big data) to creatively solve problems and disrupt existing business models.

REQUIREMENTS: Masters degree in Data Science, Business Analytics, Math, Statistics or related field with an emphasis on analytics and four (4) years of experience working and participating on a cross functional project team, from inception to delivery. Experience must also include two (2) years of post-bachelors progressive experience in all of the following: Deliver data-driven solutions by applying problem-solving and analytics to business challenges; Articulate & present complex mathematical solutions in a simple manner that most will understand; Use statistics/analytics/visualization tools, including Microsoft Azure Suite, Azure ML, PowerBI, Python and SQL; Manipulate complex high-volume data from a variety of sources using statistical, mathematical, predictive modeling and business analysis.

EX: OUT

Our Commitment to Diversity and Inclusion

At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran.

In addition, we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career, own your future and impact what matters.

We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance.",3.6,"Ecolab
3.6","Naperville, IL","Saint Paul, MN",10000+ employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (CAD),-1
47,Data Scientist - Machine Learning,"$98K-$156K
(Glassdoor Est.)","Headquartered in Brisbane, Calif., CareDx, Inc. is a leading precision medicine solutions company focused on the discovery, development and commercialization of clinically differentiated, high-value healthcare solutions for transplant patients and caregivers. CareDx offers products, testing services and digital healthcare solutions along the pre- and post-transplant patient journey, and is the leading provider of genomics-based information for transplant patients.

Data Scientist-Machine Learning

As a member of Data Sciences & Bioinformatics group you will be responsible for development of new machine/deep learning algorithms. The richness of a transplant data-lake a repository of large and complex data will provide the opportunity for implementation of these models. Individuals should have excellent working skills in multiple programming languages (R, Python) with demonstrated application development using TensorFlow/PyTorch. Additionally, a significant understanding of probabilistic and dynamic modelling in solving computational biology problems is highly desirable. Your contributions will be foundational to the companys mission of improving the lives of organ transplant patients.

Responsibilities:

Design, implement and support analytical data pipelines driven by TensorFlow/PyTorch
Implement predictive, generalized linear model, Bayesian Machine Learning, neural network as needed
Have excellent collaboration skills and be able to work with Software engineers for development of Data Lake
Qualifications:

Ph.D in Physics, Computational Biology, Computer Science, Math or Experimental biology with demonstrated Applied Math
5+ years experience developing and deploying scalable ML models computational biology applications are particularly desirable
Experience using TensorFlow,PyTorch, Keras, NumPy, Scipy, MLib and knowledge of ML libraries and platforms
Professional level understanding of Docker, GitHub
Ability to program against REST APIs is preferred
Expertise and experience with Data Lakes data and knowledge of ETL in this regard is highly desirable
Experience with HDFS, Apache Spark, Apache Kafka, OpenCV, Amazon EC2 is highly desirable
A self-driven approach with an ability and desire to communicate to a non-technical audience how complex systems work and can be applied to challenging data processing problems
A solid scientific foundation and familiarity with current literature
Additional Details:


Every individual at CareDx has a direct impact on our collective mission to improve the lives of organ transplant patients worldwide. We believe in taking great care of our people, so they take even greater care of our patients.

Our competitive Total Rewards package includes:
Competitive base salary and incentive compensation
Health and welfare benefits including a gym reimbursement program
401(k) savings plan match
Employee Stock Purchase Plan
Pre-tax commuter benefits
And more!
In addition, we have a Living Donor Employee Recovery Policy that allows up to 30 days of paid leave annually to a full-time employee who makes the selfless act of donating an organ or bone marrow.

With products that are making a difference in the lives of transplant patients today and a promising pipeline for the future, its an exciting time to be part of the CareDx team. Join us in partnering with transplant patients to transform our future together.

CareDx, Inc. is an Equal Opportunity Employer and participate in E-Verify program.
******* We do not accept resumes from headhunters, placement agencies, or other suppliers that have not signed a formal agreement with us.",2.5,"CareDx
2.5","Brisbane, CA","South San Francisco, CA",201 to 500 employees,1998,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (CAD),Sequenom
48,Data Scientist,"$95K-$118K
(Glassdoor Est.)","Data Scientist
In this role, you will be set on a constant “treasure hunt” for new data sources to apply the latest techniques for modeling and data analysis. You will be part of a team driving the profit and customer growth of this growing insurance agency.
Essential Functions and Responsibilities
Working with internal and external data to understand and accurately predict:
Shopping behavior;
Retention behavior;
Quote and conversion rates;
Retention and lifetime customer value;
Contribution to overall margin;
Customer satisfaction; and
Other drivers of success you identify worthy of analysis.
Qualifications and Education
Knowledge of new and innovative modeling and statistical techniques – a relevant specialty is preferred.
Detail orientation – attention and desire to work on large data “crunching” projects.
Strong written and oral communication skills and a proven ability to communicate technical concepts to both technical and non-technical audiences.
Creative thinker with the ability to synthesize information from various sources and apply that information to concrete business problems.
Ability to work with and understanding of the merits of various data structures.
Proficiency with the latest modeling software and techniques, such as SAS, R, Python or Tableau.
Ability to understand the need to balance predictive power, interpretability, and ease of implementation.

Education:
An advanced degree in mathematics, machine learning, economics, statistics or a related field.
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.4,"Plymouth Rock Assurance
3.4","Boston, MA","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Operators,Insurance,$10 to $25 million (CAD),"Arbella Insurance, Safety Insurance"
49,Applied Data Scientist and Statistician,"$87K-$140K
(Glassdoor Est.)","Are you a Data Scientist looking for an opportunity to work on a global consumer brand across the entire business? Do you enjoy partnering across business groups to help answer questions and uncover insights? ASICS Digital is currently seeking an Applied Data Scientist and Statistician to join our Analytics team in Boston.

ASICS Digital, Inc. is a division of ASICS based in Boston, Massachusetts. Our goal is to build digital technologies to better connect the ASICS brand to its consumers. We are responsible for the continued development of mobile-fitness solutions such as ASICS Runkeeper and ASICS Studio, global e-commerce platforms, and other digital services that encourage people to move, get fit and stay balanced.
Job Responsibilities
Develop and support machine-learning models (naïve Bayes, random forest, gradient boosting, neural networks, etc.) that personalize and adapt the user experience for ASICS' fitness apps.
Work with software engineers to productionize these models.
Design and analyze digital experiments for our apps and e-commerce platforms, including analysis of heterogeneous treatment effects and use of Bayesian statistics to describe experimental outcomes.
Identify important factors driving customer behavior using techniques such as Markov chains and the Gale-Shapley algorithm.
Develop forecasting and anomaly detection models using additive regression techniques, such as Facebook’s Prophet.
Educate colleagues on key concepts in statistics, data analysis, and experimentation best practices.
Job Requirements
Master’s degree in Data Science, Statistics or a related field and two years in the job offered or two years data analysis experience.
Experience must include two years each of the following:
Analyzing and developing models with data using a data-oriented programming language such as Python or R
Using AWS services such as SageMaker, Comprehend, and S3
Using Google Analytics to monitor and analyze site performance metrics; building reporting and data visualizations in Tableau
Extracting and manipulating data from cloud data warehouses using Snowflake SQL or Google BigQuery
Analyzing and reporting on the results of A/B tests for websites and mobile applications
Using statistics to compare and contrast populations
Developing and presenting analysis reports and training materials to business stakeholders
Setting up targeted marketing campaigns and experiments using a cloud-based campaign management platform such as MessageGears or Iterable.

Experience may be gained concurrently.
ASICS Digital is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or fitness level.",4.4,"ASICS Digital
4.4","Boston, MA","Boston, MA",51 to 200 employees,2008,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
50,Data Scientist,"$65K-$108K
(Glassdoor Est.)","HPOne, named CT Magazine's 2018 Great Places to Work, is looking for a Data Scientist to join our team.

The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.

What you'll do:
Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses
Optimize joint development efforts through database use and project design
Create automated reports and dashboard products, in order to display results to internal teams
Develop end-customer segmentation schemes by analyzing customer behavior
Perform ad hoc analyses and deliver recommendations
Develop and implement predictive models like decision tree, regression using R or similar
Communicate results and ideas to key decision makers
Required Skills/Abilities:
Master's Degree in Computer Science, Statistics, Applied Math or related field
Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics
Experience in data mining and statistical analysis
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with programming languages such as Java / Python (or ""R"")
Experience conducting regression analyses
Understanding of relational databases and data management as well as experience with data aggregation and normalization
Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.)
Ability to approach tasks strategically, while owning and mastering the details
Exceptional problem solving, as well as analytical and strategic thinking skills
Initiative to own projects from start to finish
Strong oral and written communication skills, with ability to work well with people across the company at all levels


Preferred Skills/Abilities:
Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics
Experience conducting analyses and building predictive models using SAS (or similar)
Experience with business intelligence and data visualization tools preferred (like Domo or Tableau)
Physical Requirements:
Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting)
HPOne is an Equal Opportunity Employer:

Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices.",3.5,"HPOne
3.5","Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private,Insurance Operators,Insurance,$100 to $500 million (CAD),-1
51,Data Scientist #5967,"$121K-$130K
(Glassdoor Est.)","Company Overview

Fanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today's on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world's biggest sporting events.

About the Team

Fanatics is first and foremost a technology company. We are powered by cutting-edge tech created by our small agile teams using the latest tools and technologies under our highly analytical, forward thinking, and open-minded leadership. As the global leader in licensed sports merchandise, we challenge ourselves by improving our new fully responsive NodeJS cloud commerce platform, Elasticsearch engine, and deep data science capabilities while building the best-in-class retail manufacturing and supply chain technologies. Our tech teams work together to revolutionize data science and engineering initiatives, provide highly scalable real-time and streaming platforms, and create secure e-commerce and in-stadium fan experience products. Our own e-commerce platform transacts in over 190 countries, 17 languages, and 14 currencies. Our motto is “#GSD”—get stuff done—and we do just that. If you want to be at the nexus of sports, commerce, and technology, come be a part of our industry-leading team here at Fanatics Tech.

Fanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today’s on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world’s biggest sporting events.

About the Team

Fanatics is first and foremost a technology company. We are powered by cutting-edge tech created by our small agile teams using the latest tools and technologies under our highly analytical, forward thinking, and open-minded leadership. As the global leader in licensed sports merchandise, we challenge ourselves by improving our new fully responsive NodeJS cloud commerce platform, Elasticsearch engine, and deep data science capabilities while building the best-in-class retail manufacturing and supply chain technologies. Our tech teams work together to revolutionize data science and engineering initiatives, provide highly scalable real-time and streaming platforms, and create secure e-commerce and in-stadium fan experience products. Our own e-commerce platform transacts in over 190 countries, 17 languages, and 14 currencies. Our motto is “#GSD”—get stuff done—and we do just that. If you want to be at the nexus of sports, commerce, and technology, come be a part of our industry-leading team here at Fanatics Tech.

Job Description

At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies. We firmly believe in putting data at the forefront of delivering an engaging experience for our sports fans!
Fanatics Inc. is looking for highly motivated individuals to join our Data Science and Engineering team. You will collaborate closely with engineering, PMs, cross functional business units to address challenging problems using techniques from applied statistics, machine learning and/or data mining fields.

Responsibilities

• Build, deploy, and maintain predictive models in one or more of the following areas: 1) price and promotion optimization; 2) inventory optimization; 3) e-marketing optimization.
• Dive into complex data sets to analyze trends and identify opportunities for improvement.
• Support business stakeholders by providing ad-hoc analysis to help drive decision-making.
• Collaborate cross-functionally with diverse teams (e.g. marketing operations, technology, merchandising, procurement, apparel design/production) to understand business objectives and design and implement data-driven solutions.
• Effectively communicate analytical solutions to non-technical stakeholders and senior leadership

Qualifications
• Minimum 3 years experience in the industry ( excluding internships/ co op/ academic projects).
• Experience developing machine learning and statistical models for real-world problems.
• Strong algorithmic thinking and passion for empirical research to answer hard questions.
• Ability to communicate complex quantitative analysis, analytic approaches and findings in a clear, precise, and actionable manner.
• Designing and evaluating A|B experiments and monitoring key product metrics, understanding root causes of changes in metrics.
• Working knowledge of big data processing technologies such as Hadoop, Hive, Pig and Spark.
• Ability to use SQL to perform data analysis.
• Have a BS/MS/PhD in Statistics, Applied Math, Operational Research, Computer Science or related field.
Tryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.



NOTICE TO CALIFORNIA RESIDENTS/APPLICANTS: In connection with your application, we collect information that identifies, reasonably relates to or describes you (“Personal Information”). The categories of Personal Information that we collect include your name, government issued identification number(s), email address, mailing address, other contact information, emergency contact information, employment history, educational history, criminal record, and demographic information. We collect and use those categories of Personal Information about you for human resources and other business management purposes, including identifying and evaluating you as a candidate for potential or future employment or future contract positions, recordkeeping in relation to recruiting and hiring, conducting criminal background checks as permitted by law, conducting analytics, and ensuring compliance with applicable legal requirements and Company policies.",3.4,"Fanatics
3.4","San Mateo, CA","Jacksonville, FL",5001 to 10000 employees,1996,Company - Private,Sporting Goods Shops,Retail,$2 to $5 billion (CAD),"Lids, Amazon, Under Armour"
52,Data Scientist,-1,"Back to search results
Previous job

Next job

JOB DESCRIPTION

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Mars Petcare Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of pets and pet owners to not only power Kinship’s businesses but also influence the next great ideas in the pet care space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, our pets, and pet owners everywhere. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply advanced analytics & data science approaches to understand and predict pet and pet owner behaviors
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and pet/pet owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are passionate about our mission: Shaping the Future of Pet Care. For all of our Kinship roles, we look for candidates who exemplify our core values. We believe what we do is just as important as how we do it, and we aim to hire people who are:
Optimistic
Purposefully Inquisitive
Open to All
And for this role, we hope you have the following skills we require to knock it out of the dog park:
Truly inspired by, and want to live, our purpose of creating a better world for pets.
4+ years’ experience in a data science role handling varied and complex data
Varied technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors, including packaged goods and retail
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how technical concepts to both non-technical and technical stakeholders.
WHY JOIN US?

We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds.

Kinship’s offices are global, and so are our associates. We are located in NYC, San Francisco, Portland, London, Helsinki, Shanghai, and in Moscow. Many of us flex between our dog-friendly hubs and our home offices. Today, Kinship offers exceptional benefits for you, your family, and your pets, generous paid time off, exponential opportunities to build a career within pet care, and progressive reward packages. Interested? Let’s take big strides, together.",3.9,"Mars
3.9",United States,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Drink Manufacturing,Manufacturing,$10+ billion (CAD),-1
53,Senior Data Scientist,"$102K-$164K
(Glassdoor Est.)","At the intersection of technology, science, business and sports, Strivr offers an end-to-end, VR-based immersive learning platform that changes the way people around the world train, learn and perform. With a mission to elevate performance through immersive experience, we are redefining an industry in real time and shaping the future of learning.

Strivr was founded in 2015 out of Stanford University’s Virtual Human Interaction Lab, using the football field as our proving ground. Since then, we have quickly expanded from the athlete to the enterprise, partnering with leading Fortune 500 companies including Walmart, Verizon and Fidelity to innovate and elevate employee development.

More than just content inside a headset, immersive learning provides realistic, high-impact experiences driven by L&D experts, instructional designers, data scientists, and immersive content specialists. Strivr offers the only end-to-end solution available today, bringing together the software, hardware, content and services needed to deliver effective training at scale.

Recognized by Fast Company’s Most Innovative Companies of 2019 and 2020, we take pride in our passion for innovation and we use that energy to fuel our work. Our culture thrives on teamwork, grit, transparency and impact, and celebrates every win. It’s an exciting time to join our fast growing team!

At Strivr, our Data Science team develops cutting-edge techniques to improve people’s performance in the real world based on their experiences in the virtual world. As a Data Scientist at Strivr, you will be at the forefront of defining approaches to immersive Data Science and will be evaluating and optimizing user experience in the virtual world.

Your Responsibilities:
Develop new ways to measure user behavior and to evaluate performance in the virtual environment and drive R&D in immersive Data Science
Run customer studies and communicate insights in a compelling narrative
Build forecasting models to predict real-world performance based on behavior in the immersive environment
Incorporate your research outcomes into product offering
Your Skills:
5+ years of industry experience as a Data Scientist
An advanced degree in a quantitative field (e.g Economics, Statistics, Sciences, Engineering)
Experience developing and implementing in-depth approaches, including statistical and econometric analyses
Experience designing and training machine learning models is preferred.
Proficiency with Python (or R), and SQL. Familiarity with Javascript and HTML is a plus.
Strong communication and presentation skills. Passion for using data to improve user experiences",4.7,"Strivr
4.7","Los Angeles, CA","Palo Alto, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
